date,hmm_state,hmm_p_crisis,bocpd_p_change,bocpd_break_freq_30d,risk_score_raw,risk_score_calibrated,alert_p90,alert_p95
2008-06-18,0,0.9999999999345164,0.04814063093918642,14.0,0.34483036,0.2691512604554494,0,0
2008-06-19,0,0.9999999999708962,0.2289331204955703,14.0,0.320219,0.22958222031593323,0,0
2008-06-20,0,1.0,0.45168473577869417,14.0,0.5238862,0.36071952680746716,1,0
2008-06-23,0,1.0,0.515740532988612,15.0,0.34599137,0.2526002873977025,0,0
2008-06-24,0,1.0,0.517435184601652,15.0,0.34153453,0.2658140112956365,0,0
2008-06-25,0,1.0,0.047806385114728185,14.0,0.34141982,0.23934726417064667,0,0
2008-06-26,0,1.0,0.0546154994650697,13.0,0.40181556,0.30724895497163135,1,0
2008-06-27,0,1.0,0.05509792671933243,12.0,0.49971023,0.2998819400866826,1,0
2008-06-30,0,1.0,0.07526784212785251,11.0,0.33530793,0.22574901580810547,0,0
2008-07-01,0,1.0,0.05624887569040911,10.0,0.3761035,0.2636033644278844,0,0
2008-07-02,0,1.0,0.034346271812648724,9.0,0.34324387,0.2603840505083402,0,0
2008-07-03,0,1.0,0.02904683547992773,8.0,0.2899888,0.21865836282571158,0,0
2008-07-04,0,1.0,0.02704105755131495,7.0,0.37325177,0.24864386022090912,0,0
2008-07-08,0,1.0,0.04009235164698352,6.0,0.30296466,0.19396687547365823,0,0
2008-07-09,0,1.0,0.13441704885098127,6.0,0.34120226,0.2392778843641281,0,0
2008-07-10,0,1.0,0.37832914241790744,6.0,0.28338993,0.202638973792394,0,0
2008-07-11,0,1.0,0.6551858339759513,7.0,0.3008465,0.20125516255696616,0,0
2008-07-14,0,1.0,0.8230717485679219,8.0,0.28618085,0.19270425041516623,0,0
2008-07-15,0,1.0,0.974444382164284,9.0,0.20204906,0.14571614563465118,0,0
2008-07-16,0,1.0,0.9931086728863138,10.0,0.2513186,0.16047405203183493,0,0
2008-07-17,0,1.0,0.9841248406894574,11.0,0.18441688,0.18137300511201224,0,0
2008-07-18,0,1.0,0.16735510077442195,10.0,0.27533415,0.16047405203183493,0,0
2008-07-21,0,1.0,0.2813890120033365,10.0,0.34450397,0.19542029003302255,0,0
2008-07-22,0,1.0,0.27816877430682163,10.0,0.34500387,0.19542029003302255,0,0
2008-07-23,0,1.0,0.349117830989659,10.0,0.3933104,0.2289131134748459,0,0
2008-07-24,0,1.0,0.36731982303541744,9.0,0.42640615,0.2515524576107661,1,0
2008-07-25,0,1.0,0.12064877231003893,8.0,0.3772404,0.19542029003302255,0,0
2008-07-28,0,1.0,0.061300404399503045,7.0,0.45843706,0.2289131134748459,1,0
